REGION,DISTRICT,WARD,SCHOOL NAME,SCHOOL REG. NUMBER,NECTA EXAM CENTRE NO.,SCHOOL OWNERSHIP,Form 1-Boys,Form 1-Girls,Form 2-Boys,Form 2-Girls,Form 3-Boys,Form 3-Girls,Form 4-Boys,Form 4-Girls,Form 5-Boys,Form 5-Girls,Form 6-Boys,Form 6-Girls,Total Boys,Total Girls,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Pass Rate (2016),AVERAGE GPA 2016,BAND OF SCHOOL 2016,BAND OF SCHOOL 2015,RANK OF SCHOOL 2016,RANK OF SCHOOL 2015,Candidates
MWANZA,ILEMELA MC,KIRUMBA,KIRUMBA,S.2009,S1911,GOVERNMENT,117,106,60,69,63,64,68,70,,,,,308,309,26,7,26,7,18.7,18.7,55,4.2709,7,7,1936,964,MORE THAN 40
MBEYA,RUNGWE,KISONDELA,LUTENGANO,S.201,S0418,NON-GOVERNMENT,7,10,36,25,27,36,21,31,28,10,20,12,139,124,20,3,19,3,11.4,12.0,93,3.8104,6,6,719,593,MORE THAN 40
MWANZA,ILEMELA MC,SANGABUYE,SANGABUYE,S.2010,S1912,GOVERNMENT,128,113,104,81,73,58,73,23,,,,,378,275,25,5,25,5,21.8,21.8,48,4.4677,8,8,2745,1902,MORE THAN 40
TANGA,TANGA CC,CENTRAL,ECKENFORDE CAMBRIDGE,S.2011,S2210,NON-GOVERNMENT,3,2,7,8,9,8,10,17,,,,,29,35,8,0,8,0,8.0,8.0,91,3.9762,6,6,453,289,LESS THAN 40
MANYARA,HANANG,HIDET,MARY NAGU,S.2012,S2259,GOVERNMENT,22,32,14,22,19,21,5,10,,,,,60,85,14,2,14,2,9.1,9.1,80,4.0953,7,7,629,1337,LESS THAN 40
MANYARA,HANANG,MASAKTA,MASAKTA,S.2013,S2260,GOVERNMENT,47,37,12,18,9,14,10,18,,,,,78,87,14,4,14,4,9.2,9.2,83,3.8883,6,7,812,1451,MORE THAN 40
MANYARA,HANANG,MOGITU,DANIEL NOUD,S.2014,S2261,GOVERNMENT,33,44,29,40,19,21,17,15,,,,,98,120,16,2,16,2,12.1,12.1,82,3.9001,6,6,832,794,MORE THAN 40
MANYARA,HANANG,NANGWA,WARETA,S.2015,S2262,GOVERNMENT,24,34,9,34,5,6,6,4,,,,,44,78,8,1,8,1,13.6,13.6,53,4.2842,7,7,951,641,LESS THAN 40
MANYARA,HANANG,GISAMBALANG,GISAMBALANG,S.2016,S2263,GOVERNMENT,25,42,18,15,10,3,4,4,,,,,57,64,10,1,9,1,11.0,12.1,65,4.0066,7,7,497,432,LESS THAN 40
MANYARA,HANANG,NANGWA,HANANG,S.2017,S2264,GOVERNMENT,44,63,29,41,13,40,15,47,,,,,101,191,10,5,10,5,19.5,19.5,69,4.0252,7,7,1111,1038,MORE THAN 40
ARUSHA,ARUSHA CC,ELERAI,ELERAI,S.2018,S2265,GOVERNMENT,221,258,203,201,135,201,135,115,,,,,694,775,22,34,14,27,26.2,35.8,58,4.3003,8,7,2061,1678,MORE THAN 40
TANGA,TANGA CC,PONGWE,PONGWE,S.2019,S2253,GOVERNMENT,104,90,102,87,73,58,49,57,,,,,328,292,19,17,19,17,17.2,17.2,40,4.5433,9,9,2992,3084,MORE THAN 40
MWANZA,UKEREWE,KAGUNGULI,KAGUNGULI GIRLS,S.202,S0226,NON-GOVERNMENT,0,70,0,33,0,34,0,67,,,,,0,204,17,2,8,2,10.7,20.4,98,3.7876,6,6,689,645,MORE THAN 40
