REGION,DISTRICT,WARD,SCHOOL NAME,SCHOOL REG. NUMBER,NECTA EXAM CENTRE NO.,SCHOOL OWNERSHIP,Form 1-Boys,Form 1-Girls,Form 2-Boys,Form 2-Girls,Form 3-Boys,Form 3-Girls,Form 4-Boys,Form 4-Girls,Form 5-Boys,Form 5-Girls,Form 6-Boys,Form 6-Girls,Total Boys,Total Girls,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Pass Rate (2016),AVERAGE GPA 2016,BAND OF SCHOOL 2016,BAND OF SCHOOL 2015,RANK OF SCHOOL 2016,RANK OF SCHOOL 2015,Candidates
TABORA,NZEGA,ISANZU,ISANZU,S.2960,S3012,GOVERNMENT,61,90,36,32,14,24,8,11,,,,,119,157,7,5,7,5,23.0,23.0,81,3.9797,6,7,457,681,LESS THAN 40
TABORA,NZEGA,BUDUSHI,BUDUSHI,S.2961,S3013,GOVERNMENT,11,16,16,14,5,11,2,1,,,,,34,42,10,4,10,4,5.4,5.4,23,4.7536,10,10,1414,1148,LESS THAN 40
TABORA,NZEGA,MILAMBO ITOBO,MILAMBO ITOBO,S.2962,S3014,GOVERNMENT,19,31,11,19,8,7,6,1,,,,,44,58,7,3,7,3,10.2,10.2,100,3.4813,5,10,151,1120,LESS THAN 40
TABORA,NZEGA,MWANGOYE,MWANGOYE,S.2963,S3015,GOVERNMENT,55,78,31,14,23,11,19,7,,,,,128,110,10,3,10,3,18.3,18.3,77,4.0873,7,7,616,405,LESS THAN 40
TABORA,URAMBO,SONGAMBELE,USOJI,S.2964,S4189,GOVERNMENT,69,77,65,51,53,34,21,31,,,,,208,193,12,5,12,5,23.6,23.6,69,4.1292,7,7,1403,1435,MORE THAN 40
TABORA,URAMBO,USISYA,USISYA,S.2965,S3762,GOVERNMENT,53,61,40,41,22,30,29,19,,,,,144,151,12,7,12,7,15.5,15.5,69,4.2568,7,7,1882,1798,MORE THAN 40
TABORA,KALIUA,UGUNGA,UGUNGA,S.2966,S3574,GOVERNMENT,53,50,40,32,25,16,16,7,,,,,134,105,14,5,14,5,12.6,12.6,68,4.4692,8,8,1204,907,LESS THAN 40
TABORA,URAMBO,KAPILULA,KAPILULA,S.2967,S4089,GOVERNMENT,41,44,18,20,19,9,14,23,,,,,92,96,12,8,9,6,9.4,12.5,59,4.1831,7,8,794,2311,LESS THAN 40
TABORA,URAMBO,NSENDA,IMALAMAKOYE,S.2968,S4059,GOVERNMENT,36,26,29,35,14,17,9,4,,,,,88,82,10,4,10,4,12.1,12.1,68,4.0274,7,8,527,947,LESS THAN 40
TABORA,KALIUA,USHOKOLA,USHOKOLA,S.2969,S3779,GOVERNMENT,108,87,91,74,57,29,36,22,,,,,292,212,19,7,19,7,19.4,19.4,82,3.7197,6,7,612,1227,MORE THAN 40
KAGERA,BUKOBA,KISHANJE,ILUHYA,S.297,S0482,NON-GOVERNMENT,69,74,44,42,52,57,56,38,,,,,221,211,13,4,8,3,25.4,39.3,100,3.4904,5,5,450,295,MORE THAN 40
TABORA,KALIUA,MWONGOZO,MWONGOZO,S.2970,S4178,GOVERNMENT,74,78,42,60,18,30,29,11,,,,,163,179,24,8,24,8,10.7,10.7,85,4.0431,7,6,1152,745,MORE THAN 40
TABORA,KALIUA,USINGE,USINGE,S.2971,S3626,GOVERNMENT,170,120,151,56,93,36,59,22,,,,,473,234,20,7,18,7,26.2,28.3,64,4.1273,7,7,1394,1733,MORE THAN 40
TABORA,URAMBO,KILOLENI,KILOLENI,S.2972,S4410,GOVERNMENT,40,25,22,10,10,8,12,2,,,,,84,45,10,2,9,2,10.8,11.7,74,4.0534,7,6,567,270,LESS THAN 40
SHINYANGA,KISHAPU,UCHUNGA,UCHUNGA,S.2973,S4269,GOVERNMENT,36,63,40,61,28,41,25,4,,,,,129,169,10,2,9,2,24.8,27.1,61,4.1605,7,7,743,1616,LESS THAN 40
SHINYANGA,KISHAPU,UCHUNGA,IGAGA,S.2974,S4337,GOVERNMENT,15,21,24,29,21,17,4,6,,,,,64,73,6,7,6,7,10.5,10.5,69,4.1955,7,9,816,1039,LESS THAN 40
SHINYANGA,KISHAPU,MONDO,MWIGUMBI,S.2975,S3855,GOVERNMENT,41,43,39,52,31,31,25,24,,,,,136,150,15,6,15,6,13.6,13.6,67,4.2709,7,7,1935,1353,MORE THAN 40
MWANZA,ILEMELA MC,KITANGIRI,MIHAMA,S.2976,S3277,GOVERNMENT,68,52,46,45,47,45,57,55,,,,,218,197,21,8,20,8,14.3,14.8,62,4.2765,7,9,1957,3129,MORE THAN 40
MWANZA,BUCHOSA,BUPANDWA,BUPANDWA,S.2977,S3281,GOVERNMENT,125,99,125,71,48,29,36,16,,,,,334,215,14,7,10,7,26.1,32.3,60,4.3834,8,8,2388,1928,MORE THAN 40
MWANZA,BUCHOSA,MAISOME,MAISOME,S.2978,S3282,GOVERNMENT,76,68,51,44,25,18,21,25,,,,,173,155,15,0,15,0,21.9,21.9,93,3.7537,6,7,260,1697,LESS THAN 40
MWANZA,BUCHOSA,NYAKASUNGWA,NYAKASUNGWA,S.2979,S3283,GOVERNMENT,141,140,97,90,74,46,60,26,,,,,372,302,14,3,14,3,39.6,39.6,61,4.2837,7,8,1979,2025,MORE THAN 40
DAR ES SALAAM,TEMEKE MC,MIBURANI,JITEGEMEE,S.298,S0496,NON-GOVERNMENT,226,210,295,217,281,215,249,209,430,145,357,116,1838,1112,111,32,109,32,20.6,20.9,87,4.138,7,6,1428,776,MORE THAN 40
MWANZA,BUCHOSA,KAFUNZO,KAFUNZO,S.2980,S3284,GOVERNMENT,84,63,50,29,41,29,29,27,,,,,204,148,16,2,15,2,19.6,20.7,41,4.6114,9,8,3139,2817,MORE THAN 40
MWANZA,SENGEREMA,NYAMIZEZE,MWALIGA,S.2981,S3285,GOVERNMENT,102,101,61,59,39,19,21,16,,,,,223,195,18,9,18,9,15.5,15.5,39,4.5838,9,8,3091,2482,MORE THAN 40
MWANZA,SENGEREMA,KASENYI,NYAMAHONA,S.2982,S3286,GOVERNMENT,147,62,90,29,64,21,32,15,,,,,333,127,13,6,11,6,24.2,27.1,75,4.0222,7,7,1104,1280,MORE THAN 40
MWANZA,SENGEREMA,MISSION,NGWELI,S.2983,S3287,GOVERNMENT,105,110,140,139,151,120,83,72,,,,,479,441,21,25,21,25,20.0,20.0,64,4.2319,7,6,1775,857,MORE THAN 40
MWANZA,SENGEREMA,BUZILASOGA,BUZILASOGA,S.2984,S3288,GOVERNMENT,69,54,65,35,58,34,29,16,,,,,221,139,17,3,17,3,18.0,18.0,64,4.3304,8,9,2184,3382,MORE THAN 40
MWANZA,SENGEREMA,KAGUNGA,LWENGE,S.2985,S3289,GOVERNMENT,62,51,42,35,11,15,8,9,,,,,123,110,8,5,8,5,17.9,17.9,70,4.347,8,9,1048,2861,LESS THAN 40
KAGERA,BUKOBA MC,HAMUGEMBE,HAMUGEMBE,S.2986,S3269,GOVERNMENT,45,42,52,55,40,38,46,51,,,,,183,186,19,7,19,7,14.2,14.2,82,3.8823,6,6,801,717,MORE THAN 40
KAGERA,BUKOBA MC,RWAMISHENYE,RWAMISHENYE,S.2987,S3270,GOVERNMENT,25,27,24,45,45,48,32,42,,,,,126,162,15,12,15,12,10.7,10.7,89,3.924,6,8,874,2322,MORE THAN 40
KAGERA,BUKOBA MC,IJUGANYONDO,IJUGANYONDO,S.2988,S3271,GOVERNMENT,18,31,8,12,21,13,16,8,,,,,63,64,19,5,19,5,5.3,5.3,75,4.31,8,8,2100,2204,MORE THAN 40
KAGERA,BUKOBA MC,BUHEMBE,BUHEMBE,S.2989,S3272,GOVERNMENT,23,19,19,24,13,26,17,24,,,,,72,93,15,4,15,4,8.7,8.7,69,4.1036,7,7,645,1169,LESS THAN 40
KAGERA,BUKOBA MC,BILELE,BILELE,S.2990,S3273,GOVERNMENT,51,50,27,32,45,52,50,67,,,,,173,201,13,15,13,15,13.4,13.4,78,4.1504,7,7,1470,1587,MORE THAN 40
KAGERA,BUKOBA MC,KASHAI,KASHAI,S.2991,S3274,GOVERNMENT,80,83,77,72,60,76,49,76,,,,,266,307,11,19,11,19,19.1,19.1,91,3.914,6,7,856,931,MORE THAN 40
KAGERA,BUKOBA MC,MIEMBENI,RUMULI,S.2992,S3275,GOVERNMENT,39,43,55,61,37,44,43,42,,,,,174,190,14,15,14,15,12.6,12.6,79,4.2498,7,7,900,1070,LESS THAN 40
MWANZA,MWANZA CC,BUHONGWA,BUHONGWA,S.2993,S3278,GOVERNMENT,153,229,158,321,101,219,112,194,,,,,524,963,17,7,17,7,62.0,62.0,66,4.1393,7,7,1432,1417,MORE THAN 40
MWANZA,MWANZA CC,PAMBA,BUGARIKA,S.2994,S3279,GOVERNMENT,139,123,97,74,72,70,49,51,,,,,357,318,22,10,17,9,21.1,26.0,42,4.5122,9,8,2903,2758,MORE THAN 40
MWANZA,ILEMELA MC,ILEMELA,LUMALA,S.2995,S3280,GOVERNMENT,192,190,158,133,122,128,97,107,,,,,569,558,26,27,25,27,21.3,21.7,65,4.2142,7,7,1708,1581,MORE THAN 40
KAGERA,BUKOBA,KIBIRIZI,KIBIRIZI,S.2996,S3290,GOVERNMENT,36,43,31,36,24,18,26,24,,,,,117,121,9,4,9,4,18.3,18.3,96,3.9133,6,9,385,3056,LESS THAN 40
KAGERA,BUKOBA,RUHUNGA,RUHUNGA,S.2997,S3291,GOVERNMENT,71,66,55,60,45,36,40,27,,,,,211,189,10,3,5,0,30.8,80.0,85,4.0568,7,7,1185,1551,MORE THAN 40
KAGERA,BUKOBA,KISHANJE,BUSILIKYA,S.2998,S3292,GOVERNMENT,46,40,29,48,17,21,20,26,,,,,112,135,11,5,11,5,15.4,15.4,68,4.3341,8,8,1032,2779,LESS THAN 40
KAGERA,MISSENYI,BWANJAI,BWANJAI,S.2999,S3293,GOVERNMENT,66,63,52,61,33,67,40,52,,,,,191,243,16,7,16,7,18.9,18.9,94,4.0466,7,7,1162,885,MORE THAN 40
MWANZA,MWANZA CC,MKOLANI,NSUMBA,S.3,,GOVERNMENT,,,,,,,,,412,0,419,0,831,0,22,14,18,13,23.1,26.8,,,,,,,
DODOMA,DODOMA MC,MAKOLE,DODOMA,S.30,S0306,GOVERNMENT,95,123,153,156,110,110,93,119,100,158,77,108,628,774,38,37,37,35,18.7,19.5,61,3.8748,6,6,790,679,MORE THAN 40
KILIMANJARO,SAME,BOMBO,DINDIMO,S.300,S0498,NON-GOVERNMENT,9,6,22,14,15,13,9,6,,,,,55,39,3,0,2,0,31.3,47.0,94,3.7381,6,6,251,174,LESS THAN 40
KAGERA,MISSENYI,KANYIGO,KIKUKWE,S.3000,S3294,GOVERNMENT,37,47,52,44,30,37,26,23,,,,,145,151,16,5,12,3,14.1,19.7,81,4.1836,7,6,1586,786,MORE THAN 40
KAGERA,MISSENYI,KASHENYE,KASHENYE,S.3001,S3295,GOVERNMENT,50,44,41,45,21,26,26,48,,,,,138,163,17,4,16,4,14.3,15.1,86,4.0992,7,7,638,1850,LESS THAN 40
KAGERA,MISSENYI,KAKUNYU,KAKUNYU,S.3002,S3296,GOVERNMENT,64,55,38,59,22,25,21,15,,,,,145,154,14,3,13,3,17.6,18.7,89,4.035,7,7,540,700,LESS THAN 40
KAGERA,MISSENYI,BUGORORA,NKENGE,S.3003,S3297,GOVERNMENT,26,41,41,31,15,24,16,19,,,,,98,115,13,5,12,5,11.8,12.5,95,3.8586,6,8,331,2684,LESS THAN 40
KAGERA,MISSENYI,BUGANDIKA,BUGANDIKA,S.3004,S3298,GOVERNMENT,60,57,81,70,45,52,33,33,,,,,219,212,13,8,13,8,20.5,20.5,97,3.9834,6,9,464,3334,LESS THAN 40
KAGERA,MISSENYI,GERA,GERA,S.3005,S3299,GOVERNMENT,23,35,29,19,16,23,12,15,,,,,80,92,14,2,14,2,10.8,10.8,81,4.1251,7,10,686,3426,LESS THAN 40
KAGERA,MULEBA,KASHARUNGA,KASHARUNGA,S.3006,S3261,GOVERNMENT,134,155,146,125,55,37,44,35,,,,,379,352,15,6,15,6,34.8,34.8,95,3.8977,6,9,827,3244,MORE THAN 40
KAGERA,MULEBA,BURUNGURA,BURUNGURA,S.3007,S3262,GOVERNMENT,38,38,44,34,16,23,18,23,,,,,116,118,16,0,16,0,14.6,14.6,86,4.0254,7,7,523,577,LESS THAN 40
KAGERA,MULEBA,KIBANGA,KIBANGA,S.3008,S3263,GOVERNMENT,69,56,38,34,34,39,25,21,,,,,166,150,12,4,12,4,19.8,19.8,78,4.0522,7,7,562,1394,LESS THAN 40
KAGERA,MULEBA,IKONDO,IKONDO,S.3009,S3264,GOVERNMENT,86,65,52,58,52,45,42,28,,,,,232,196,14,0,14,0,30.6,30.6,89,4.1064,7,8,1324,2216,MORE THAN 40
KILIMANJARO,MOSHI,KILEMA KUSINI,OLALENI,S.301,S0499,NON-GOVERNMENT,85,76,97,68,66,77,67,45,,,,,315,266,13,0,11,0,44.7,52.8,100,2.6628,4,4,145,185,MORE THAN 40
KAGERA,MULEBA,MAYONDWE,MAYONDWE,S.3010,S3265,GOVERNMENT,51,33,54,50,24,29,23,28,,,,,152,140,12,9,12,9,13.9,13.9,91,4.1127,7,6,1350,715,MORE THAN 40
KAGERA,MULEBA,NGENGE,NGENGE,S.3011,S3266,GOVERNMENT,65,77,72,78,41,20,24,18,,,,,202,193,14,0,14,0,28.2,28.2,64,4.4573,8,8,2709,2201,MORE THAN 40
KAGERA,MULEBA,KABIRIZI,KABIRIZI,S.3012,S3267,GOVERNMENT,60,63,28,23,22,23,17,18,,,,,127,127,15,2,15,2,14.9,14.9,63,4.4044,8,8,1116,2629,LESS THAN 40
KAGERA,MULEBA,BULYAKASHAJU,BULYAKASHAJU,S.3013,S3872,GOVERNMENT,65,57,32,35,18,18,26,12,,,,,141,122,17,2,4,1,13.8,52.6,92,3.6493,6,7,209,1192,LESS THAN 40
MARA,SERENGETI,NAGUSI,NAGUSI,S.3014,S3276,GOVERNMENT,117,113,81,64,57,50,27,21,,,,,282,248,15,6,15,6,25.2,25.2,59,4.3524,8,7,2267,1821,MORE THAN 40
KAGERA,BIHARAMULO,KABINDI,RUNAZI,S.3015,S3300,GOVERNMENT,94,132,97,110,37,48,39,38,,,,,267,328,25,12,25,12,16.1,16.1,99,3.6108,6,5,528,327,MORE THAN 40
KAGERA,BIHARAMULO,NYAMIGOGO,NYAMIGOGO,S.3016,S3301,GOVERNMENT,50,58,44,44,27,32,19,20,,,,,140,154,14,0,14,0,21.0,21.0,86,4.0322,7,7,538,1059,LESS THAN 40
KAGERA,BIHARAMULO,NYANTAKARA,NYANTAKARA,S.3017,S3112,GOVERNMENT,84,101,58,87,37,30,27,43,0,197,0,87,206,545,17,11,16,10,26.8,28.9,95,4.0567,7,7,574,1065,LESS THAN 40
KAGERA,BIHARAMULO,KALENGE,KALENGE DAY,S.3018,S3302,GOVERNMENT,57,66,53,39,33,32,21,7,,,,,164,144,19,3,17,3,14.0,15.4,87,4.0195,7,7,514,375,LESS THAN 40
GEITA,CHATO,BWANGA,BWANGA,S.3019,S3256,GOVERNMENT,204,141,159,94,86,68,78,41,,,,,527,344,15,11,14,11,33.5,34.8,67,4.2364,7,7,1792,1380,MORE THAN 40
KILIMANJARO,MOSHI,KIBOSHO MAGHARIBI,MLAMA,S.302,S0508,NON-GOVERNMENT,30,37,57,50,67,50,71,63,,,,,225,200,19,4,15,3,18.5,23.6,100,3.0957,5,5,267,395,MORE THAN 40
GEITA,CHATO,BWERA,BWERA,S.3020,S3257,GOVERNMENT,71,59,48,45,30,26,28,19,,,,,177,149,15,7,14,7,14.8,15.5,58,4.3936,8,7,2430,579,MORE THAN 40
GEITA,CHATO,KIGONGO,KIGONGO,S.3021,S3258,GOVERNMENT,155,145,122,66,100,74,73,45,,,,,450,330,18,12,9,2,26.0,70.9,51,4.499,8,7,2862,1196,MORE THAN 40
GEITA,CHATO,ICHWANKIMA,ICHWANKIMA,S.3022,S3259,GOVERNMENT,38,48,21,27,17,16,10,10,,,,,86,101,14,2,14,2,11.7,11.7,80,4.1997,7,7,824,550,LESS THAN 40
GEITA,CHATO,KASENGA,KACHWAMBA,S.3023,S3260,GOVERNMENT,102,65,56,36,31,31,32,21,,,,,221,153,11,5,6,3,23.4,41.6,74,4.2998,7,7,2060,942,MORE THAN 40
RUVUMA,SONGEA MC,MATARAWE,MATARAWE,S.3024,S4051,GOVERNMENT,85,109,55,55,64,73,59,70,,,,,263,307,12,25,12,23,15.4,16.3,65,4.3626,8,8,2304,2400,MORE THAN 40
RUVUMA,SONGEA MC,BOMBAMBILI,BOMBAMBILI,S.3025,S3242,GOVERNMENT,129,147,90,103,93,76,58,85,,,,,370,411,15,24,15,23,20.0,20.6,88,3.7555,6,7,651,943,MORE THAN 40
RUVUMA,SONGEA MC,MLETELE,MDANDAMO,S.3026,S3243,GOVERNMENT,29,21,27,42,16,17,8,13,,,,,80,93,19,4,19,4,7.5,7.5,79,4.2893,7,7,963,531,LESS THAN 40
RUVUMA,SONGEA MC,MATOGORO,MATOGORO,S.3027,S3244,GOVERNMENT,74,72,44,44,64,50,34,36,,,,,216,202,16,18,16,18,12.3,12.3,86,3.9996,6,6,1032,793,MORE THAN 40
RUVUMA,SONGEA MC,MJINI,MASHUJAA,S.3028,S3245,GOVERNMENT,83,87,54,45,65,60,52,41,,,,,254,233,14,25,14,25,12.5,12.5,80,4.0002,7,9,1035,2936,MORE THAN 40
RUVUMA,SONGEA MC,SUBIRA,SUBIRA,S.3029,S3246,GOVERNMENT,43,69,26,35,18,16,6,13,,,,,93,133,18,4,17,4,10.3,10.8,100,3.7896,6,7,287,688,LESS THAN 40
KILIMANJARO,ROMBO,MRAO KERYO,UNGWASI,S.303,S0506,NON-GOVERNMENT,8,13,37,43,37,42,59,73,15,8,10,11,166,190,14,6,10,4,17.8,25.4,99,3.5055,6,6,460,476,MORE THAN 40
RUVUMA,SONGEA MC,MISUFINI,ZIMANIMOTO,S.3030,S3247,GOVERNMENT,32,32,30,45,16,13,17,21,,,,,95,111,22,8,22,7,6.9,7.1,100,3.8911,6,9,366,3168,LESS THAN 40
RUVUMA,SONGEA MC,MFARANYAKI,MFARANYAKI,S.3031,S3248,GOVERNMENT,76,98,131,141,57,84,56,67,,,,,320,390,23,22,23,22,15.8,15.8,85,4.1646,7,7,1517,1565,MORE THAN 40
RUVUMA,NAMTUMBO,MSINDO,MTAKANINI,S.3032,S3419,GOVERNMENT,17,29,8,26,13,12,15,10,,,,,53,77,11,7,11,7,7.2,7.2,91,3.7094,6,8,233,867,LESS THAN 40
RUVUMA,NAMTUMBO,RWINGA,RWINGA,S.3033,S3420,GOVERNMENT,62,62,43,59,58,53,17,25,,,,,180,199,12,11,0,1,16.5,379.0,69,4.2365,7,7,1793,1768,MORE THAN 40
RUVUMA,NAMTUMBO,LIGERA,LUKIMWA,S.3034,S3421,GOVERNMENT,34,51,26,37,21,24,12,7,,,,,93,119,13,2,13,2,14.1,14.1,68,4.4536,8,7,1190,554,LESS THAN 40
MBEYA,KYELA,IPINDA,KAFUNDO,S.3035,S3135,GOVERNMENT,119,93,116,127,70,70,52,35,,,,,357,325,15,19,15,19,20.1,20.1,40,4.5395,9,8,2983,2560,MORE THAN 40
RUVUMA,NAMTUMBO,MAGAZINI,MAGAZINI,S.3036,S3422,GOVERNMENT,42,41,30,49,31,14,24,14,,,,,127,118,7,3,7,3,24.5,24.5,59,4.4735,8,9,1207,1054,LESS THAN 40
RUVUMA,TUNDURU,NALASI MAGHARIBI,NALASI,S.3037,S3428,GOVERNMENT,96,80,58,21,28,28,15,5,,,,,197,134,6,4,6,4,33.1,33.1,75,4.2128,7,6,1699,175,MORE THAN 40
RUVUMA,TUNDURU,MTINA,SEMENI,S.3038,S3429,GOVERNMENT,61,43,73,50,25,18,14,5,,,,,173,116,10,3,10,3,22.2,22.2,89,3.8333,6,6,312,275,LESS THAN 40
RUVUMA,TUNDURU,MARUMBA,MARUMBA,S.3039,S3430,GOVERNMENT,68,42,51,31,38,19,17,10,,,,,174,102,14,1,14,1,18.4,18.4,94,4.1094,7,6,654,340,LESS THAN 40
MOROGORO,MOROGORO,KONDE,MATOMBO,S.304,S0521,GOVERNMENT,45,69,34,72,24,38,19,32,,,,,122,211,11,9,9,9,16.7,18.5,63,4.2876,7,8,2000,2011,MORE THAN 40
RUVUMA,NYASA,MBAHA,MONICA MBEGA,S.3040,S3411,GOVERNMENT,69,70,43,33,30,22,16,12,,,,,158,137,12,2,12,2,21.1,21.1,63,4.2083,7,8,838,2106,LESS THAN 40
RUVUMA,MBINGA,NYONI,NYONI,S.3041,S3412,GOVERNMENT,26,67,23,58,7,50,4,34,,,,,60,209,10,7,10,7,15.8,15.8,82,3.9799,6,7,458,1314,LESS THAN 40
RUVUMA,NYASA,LIPARAMBA,LIPARAMBA,S.3042,S3413,GOVERNMENT,38,49,26,50,20,17,9,12,,,,,93,128,12,2,12,2,15.8,15.8,46,4.6107,9,9,1353,1035,LESS THAN 40
MTWARA,MTWARA MIKINDANI MC,MAJENGO,UMOJA,S.3043,S3439,GOVERNMENT,50,89,70,79,48,59,43,29,,,,,211,256,18,17,18,17,13.3,13.3,58,4.2439,7,8,1832,2240,MORE THAN 40
MTWARA,MTWARA MIKINDANI MC,MITENGO,MITENGO,S.3044,S3440,GOVERNMENT,41,35,50,64,23,27,14,9,,,,,128,135,12,11,12,11,11.4,11.4,79,4.164,7,7,1515,504,MORE THAN 40
MTWARA,MTWARA,MAYANGA,MAYANGA,S.3045,S3431,GOVERNMENT,54,48,50,102,23,15,21,15,,,,,148,180,21,9,9,4,10.9,25.2,78,4.292,7,7,967,1782,LESS THAN 40
MTWARA,NANYAMBA,NJENGWA,NJENGWA,S.3046,S3432,GOVERNMENT,62,63,62,64,46,31,24,17,,,,,194,175,16,3,16,3,19.4,19.4,71,4.4377,8,7,1171,602,LESS THAN 40
MTWARA,NANYAMBA,MILANGOMINNE,MNYAWI,S.3047,S3433,GOVERNMENT,65,73,81,74,44,32,35,10,,,,,225,189,16,2,16,2,23.0,23.0,72,4.1831,7,9,793,3061,LESS THAN 40
MTWARA,NANYAMBA,MTIMBWILIMBWI,MTINIKO,S.3048,S3434,GOVERNMENT,79,74,157,165,27,30,31,18,,,,,294,287,15,7,15,7,26.4,26.4,65,4.3242,8,7,1011,1278,LESS THAN 40
MTWARA,NANYAMBA,KIROMBA,KIROMBA,S.3049,S3435,GOVERNMENT,49,64,57,80,28,18,10,7,,,,,144,169,18,3,17,3,14.9,15.7,34,4.6756,9,9,1391,1075,LESS THAN 40
IRINGA,KILOLO,ILULA,ILULA,S.305,S0515,GOVERNMENT,80,108,70,96,68,79,73,88,112,0,107,0,510,371,15,19,13,19,25.9,27.5,87,4.0124,7,7,1075,1063,MORE THAN 40
MTWARA,NANYAMBA,CHAWI,CHAWI,S.3050,S3436,GOVERNMENT,43,25,37,65,15,13,15,12,,,,,110,115,19,5,19,5,9.4,9.4,52,4.3926,8,7,1103,487,LESS THAN 40
MTWARA,MASASI TC,NAPUPA,ANNA ABDALLAH,S.3051,S3113,GOVERNMENT,69,69,68,102,34,67,37,41,,,,,208,279,9,18,9,18,18.0,18.0,43,4.5173,9,7,2917,1476,MORE THAN 40
MTWARA,NANYUMBU,MNANJE,MARATANI,S.3052,S3114,GOVERNMENT,47,47,33,38,23,23,15,10,,,,,118,118,18,5,18,5,10.3,10.3,23,4.806,10,9,1424,1070,LESS THAN 40
MTWARA,MASASI TC,MUMBAKA,MARIKA,S.3053,S3115,GOVERNMENT,36,33,29,34,21,18,15,13,,,,,101,98,18,4,18,4,9.0,9.0,72,4.1759,7,8,780,2165,LESS THAN 40
MTWARA,MASASI,MBUYUNI,MBUYUNI,S.3054,S3116,GOVERNMENT,20,32,36,45,20,16,9,4,,,,,85,97,10,1,10,1,16.5,16.5,61,4.3663,8,8,1068,917,LESS THAN 40
MTWARA,MASASI,MKULULU,MKULULU,S.3055,S4105,GOVERNMENT,23,21,26,34,14,21,17,9,0,0,,,80,85,12,2,12,2,11.8,11.8,88,3.812,6,8,299,926,LESS THAN 40
MTWARA,NANYUMBU,CHIPUPUTA,CHIPUPUTA,S.3056,S3118,GOVERNMENT,19,17,38,57,21,10,15,5,,,,,93,89,19,8,19,8,6.7,6.7,82,4.1927,7,8,814,729,LESS THAN 40
MTWARA,NANYUMBU,NANGOMBA,NANGOMBA,S.3057,S3119,GOVERNMENT,30,10,26,29,14,27,14,4,,,,,84,70,20,12,20,12,4.8,4.8,53,4.3507,8,7,1051,1755,LESS THAN 40
MTWARA,NANYUMBU,NANDETE,NANDETE,S.3058,S3120,GOVERNMENT,25,20,31,37,18,9,11,9,,,,,85,75,17,7,17,7,6.7,6.7,52,4.2323,7,9,869,2940,LESS THAN 40
MTWARA,MASASI,CHIKUNDI,MKALAPA,S.3059,S3121,GOVERNMENT,45,39,52,70,25,35,21,22,,,,,143,166,12,8,12,8,15.5,15.5,36,4.6403,9,10,3182,3424,MORE THAN 40
KAGERA,MISSENYI,ISHOZI,TWEYAMBE,S.306,S0455,NON-GOVERNMENT,24,14,15,17,36,37,51,24,45,7,19,10,190,109,21,2,21,2,13.0,13.0,95,3.8583,6,6,773,632,MORE THAN 40
MTWARA,NANYUMBU,NAKOPI,NAPACHO,S.3060,S3122,GOVERNMENT,19,12,27,35,13,12,6,5,,,,,65,64,21,7,21,7,4.6,4.6,100,4.0143,7,7,505,352,LESS THAN 40
MTWARA,NANYUMBU,SENGENYA,SENGENYA,S.3061,S3123,GOVERNMENT,50,26,48,77,20,22,8,19,,,,,126,144,22,5,22,5,10.0,10.0,20,4.8465,10,9,1432,1029,LESS THAN 40
MTWARA,MASASI,NAMATUTWE,NAMATUTWE,S.3062,S3124,GOVERNMENT,24,18,51,46,21,24,7,16,,,,,103,104,12,3,12,3,13.8,13.8,60,4.3814,8,8,1090,836,LESS THAN 40
MTWARA,NEWALA,MALATU,MALATU,S.3063,S3615,GOVERNMENT,27,38,51,33,11,13,7,7,,,,,96,91,10,1,10,1,17.0,17.0,67,4.2167,7,7,849,624,LESS THAN 40
MTWARA,NEWALA TC,NANGURUWE,MALOCHO,S.3064,S3727,GOVERNMENT,25,23,37,57,9,21,9,5,,,,,80,106,13,2,13,2,12.4,12.4,55,4.4575,8,7,1195,1523,LESS THAN 40
MTWARA,NEWALA TC,MTUMACHI,MALEGESI,S.3065,S4214,GOVERNMENT,68,47,65,68,29,29,11,10,,,,,173,154,12,2,12,2,23.4,23.4,89,4.0523,7,7,563,671,LESS THAN 40
MTWARA,NEWALA,NAMBALI,MKOMA,S.3066,S4267,GOVERNMENT,28,41,23,21,22,19,5,5,,,,,78,86,7,3,7,3,16.4,16.4,49,4.5679,9,8,1318,741,LESS THAN 40
MTWARA,NEWALA,NANDWAHI,VIHOKOLI,S.3067,S2920,GOVERNMENT,26,46,32,41,24,22,14,14,,,,,96,123,9,2,9,2,19.9,19.9,62,4.3779,8,7,1083,368,LESS THAN 40
MTWARA,NEWALA,CHIWONGA,MMULUNGA,S.3068,S3696,GOVERNMENT,26,28,21,20,11,34,13,2,,,,,71,84,6,2,6,2,19.4,19.4,89,4.0308,7,7,535,567,LESS THAN 40
MTWARA,NEWALA,MAKUKWE,MAKUKWE,S.3069,S3781,GOVERNMENT,48,58,61,113,20,28,17,16,,,,,146,215,12,2,12,2,25.8,25.8,79,4.1145,7,6,1354,630,MORE THAN 40
KILIMANJARO,MOSHI,MWIKA KASKAZINI,LYAKIRIMU,S.307,S0503,GOVERNMENT,76,145,83,145,65,140,51,116,,,,,275,546,18,12,18,7,27.4,32.8,64,4.2165,7,8,1715,2510,MORE THAN 40
